Name,Description,final_model_importance,mean_outer_fold_importance,outer_folds_used
ENSG00000116750.13,UCHL5,0.0016145097,0.00052293204,1
ENSG00000107960.10,STN1,0.0016129868,0.0,0
ENSG00000174171.5,RP11-23P13.6,0.0016026973,0.0,0
ENSG00000182952.4,HMGN4,0.001601444,0.0,0
ENSG00000170956.16,CEACAM3,0.001596982,0.00041125825,2
ENSG00000118514.13,ALDH8A1,0.0015966623,0.0,0
ENSG00000169946.13,ZFPM2,0.0015937377,0.0,0
ENSG00000109062.11,SLC9A3R1,0.0015889119,0.0,0
ENSG00000181444.12,ZNF467,0.0015873205,0.0,0
ENSG00000187118.12,CMC1,0.0015795843,0.00022983477,1
ENSG00000211896.7,IGHG1,0.001579201,0.0,0
ENSG00000230267.7,HERC2P4,0.0015777657,0.0,0
ENSG00000123411.14,IKZF4,0.0015593504,0.0,0
ENSG00000127831.10,VIL1,0.001549459,0.0,0
ENSG00000224837.1,GCSHP5,0.0015460321,0.0,0
ENSG00000125844.15,RRBP1,0.001544977,0.0,0
ENSG00000154914.16,USP43,0.001543162,0.0,0
ENSG00000166548.15,TK2,0.0015391425,0.0,0
ENSG00000125870.10,SNRPB2,0.0015360118,0.0,0
ENSG00000211951.2,IGHV2-26,0.0015315122,0.0,0
ENSG00000143520.6,FLG2,0.0015220573,0.0026010089,4
ENSG00000279080.1,CTA-228A9.4,0.0015193747,0.0,0
ENSG00000016864.18,GLT8D1,0.0015050571,0.0,0
ENSG00000149260.15,CAPN5,0.0014942983,0.0,0
ENSG00000135063.17,FAM189A2,0.0014900028,0.0,0
ENSG00000171812.12,COL8A2,0.0014860947,0.0,0
ENSG00000103042.8,SLC38A7,0.0014788011,0.0,0
ENSG00000100982.11,PCIF1,0.001474196,0.0,0
ENSG00000211653.2,IGLV1-40,0.0014734508,0.00046572118,1
ENSG00000189269.12,DRICH1,0.0014685289,0.0,0
ENSG00000129455.15,KLK8,0.0014677154,0.0,0
ENSG00000100852.12,ARHGAP5,0.00146751,0.0005055475,1
ENSG00000160789.19,LMNA,0.0014660128,0.0,0
ENSG00000165821.11,SALL2,0.0014647987,0.0,0
ENSG00000168439.16,STIP1,0.0014615306,0.0,0
ENSG00000196352.14,CD55,0.0014593224,0.0,0
ENSG00000146678.9,IGFBP1,0.001448456,0.00053984986,1
ENSG00000176092.14,AIM1L,0.00144488,0.0010818122,1
ENSG00000136689.18,IL1RN,0.0014352952,0.0,0
ENSG00000211662.2,IGLV3-21,0.0014323746,0.00037427762,1
ENSG00000274744.1,ELOA3D,0.001424431,0.0,0
ENSG00000151948.11,GLT1D1,0.0014244199,0.0,0
ENSG00000119865.8,CNRIP1,0.001423333,0.0,0
ENSG00000226784.2,PGAM4,0.0014230288,0.0,0
ENSG00000261971.6,MMP25-AS1,0.0014179702,0.0,0
ENSG00000179399.14,GPC5,0.0014165569,0.0,0
ENSG00000101842.13,VSIG1,0.0014162707,0.0,0
ENSG00000170476.15,MZB1,0.0014144472,0.0,0
ENSG00000148655.14,C10orf11,0.0014125494,0.0,0
ENSG00000224126.2,UBE2SP2,0.0014027123,0.0,0
ENSG00000133393.12,FOPNL,0.0014000913,0.00015953102,1
ENSG00000143375.14,CGN,0.0013997827,0.0,0
ENSG00000258512.1,LINC00239,0.0013966374,0.0,0
ENSG00000234118.1,RPL13AP6,0.0013950625,0.0011583057,2
ENSG00000234274.1,COX7BP2,0.0013861884,0.0,0
ENSG00000255390.1,RP11-732A19.5,0.0013843243,0.0,0
ENSG00000211809.2,TRAV27,0.0013814667,0.0002814278,1
ENSG00000131480.8,AOC2,0.0013778959,0.00052610144,1
ENSG00000124562.9,SNRPC,0.0013776595,0.00073157676,1
ENSG00000123405.13,NFE2,0.0013667158,0.00051797554,1
ENSG00000109906.13,ZBTB16,0.0013477112,0.0,0
ENSG00000180190.11,TDRP,0.0013421292,0.0,0
ENSG00000230897.1,RPS18P12,0.0013382009,0.0,0
ENSG00000231500.6,RPS18,0.001336555,0.0,0
ENSG00000116455.13,WDR77,0.0013344248,0.00054066436,2
ENSG00000274998.1,SNORA17A,0.0013344005,0.0009958665,2
ENSG00000083123.14,BCKDHB,0.0013334653,0.0,0
ENSG00000156587.15,UBE2L6,0.0013313115,0.0,0
ENSG00000239686.1,RP11-665C16.1,0.0013311447,0.0,0
ENSG00000230823.3,CBX1P1,0.0013295264,0.0,0
ENSG00000130255.12,RPL36,0.0013238668,0.0017637039,3
ENSG00000115828.15,QPCT,0.0013236804,0.0,0
ENSG00000159714.10,ZDHHC1,0.0013233743,0.0006043293,1
ENSG00000168172.8,HOOK3,0.0013156158,0.0,0
ENSG00000136830.11,FAM129B,0.0013113227,0.0014949522,2
ENSG00000206147.5,RPL23AP57,0.0013109633,0.0,0
ENSG00000260246.1,AC000032.2,0.0013081812,0.0,0
ENSG00000177885.13,GRB2,0.00130769,0.0,0
ENSG00000248015.6,AC005329.7,0.0013066407,0.00056373107,2
ENSG00000179750.15,APOBEC3B,0.0013011361,0.0,0
ENSG00000156886.11,ITGAD,0.0013006923,0.0012030087,1
ENSG00000162959.13,MEMO1,0.001297911,0.0,0
ENSG00000105612.8,DNASE2,0.0012978236,0.0,0
ENSG00000183628.12,DGCR6,0.001296432,0.0,0
ENSG00000226970.2,RP11-82H13.2,0.0012962349,0.0,0
ENSG00000186868.15,MAPT,0.0012954473,0.0,0
ENSG00000109445.10,ZNF330,0.001294257,3.9072693e-05,1
ENSG00000085978.21,ATG16L1,0.001292096,0.0,0
ENSG00000127311.9,HELB,0.0012894674,0.0,0
ENSG00000163155.11,LYSMD1,0.0012835173,0.0,0
ENSG00000181467.4,RAP2B,0.0012834811,0.0,0
ENSG00000198886.2,MT-ND4,0.0012825546,0.0,0
ENSG00000189367.14,KIAA0408,0.0012808585,0.0,0
ENSG00000196739.14,COL27A1,0.0012799661,0.0,0
ENSG00000283537.1,RP11-298A10.2,0.0012737155,0.0,0
ENSG00000005889.15,ZFX,0.0012719267,0.0,0
ENSG00000211955.2,IGHV3-33,0.0012605567,5.8050675e-05,1
ENSG00000136021.18,SCYL2,0.001259087,0.0,0
ENSG00000099139.13,PCSK5,0.0012590522,0.0,0
ENSG00000200237.1,SNORA70,0.0012587258,0.00023906268,1
ENSG00000124588.19,NQO2,0.0012530398,0.0,0
ENSG00000059804.15,SLC2A3,0.0012498825,0.0,0
ENSG00000230291.5,RP11-244J10.1,0.0012475275,0.0,0
ENSG00000185624.14,P4HB,0.001245558,0.0006261275,1
ENSG00000070269.13,TMEM260,0.0012438905,0.0,0
ENSG00000196735.11,HLA-DQA1,0.0012388531,0.0,0
ENSG00000178226.10,PRSS36,0.0012381438,0.0025476287,3
ENSG00000175356.12,SCUBE2,0.0012375995,0.00078387454,1
ENSG00000214456.8,PLIN5,0.001237011,0.0,0
ENSG00000130055.13,GDPD2,0.0012331307,0.0,0
ENSG00000243494.1,CTC-550B14.1,0.0012330634,0.0,0
ENSG00000120253.13,NUP43,0.0012321956,0.00048502238,1
ENSG00000104915.14,STX10,0.0012259977,0.0,0
ENSG00000164742.14,ADCY1,0.0012257098,0.0,0
ENSG00000169169.14,CPT1C,0.0012255239,0.0,0
ENSG00000102935.11,ZNF423,0.0012196023,0.0,0
ENSG00000187720.14,THSD4,0.0012190661,0.0,0
ENSG00000121858.10,TNFSF10,0.0012141942,0.0,0
ENSG00000146205.13,ANO7,0.001212964,0.0,0
ENSG00000143847.15,PPFIA4,0.0012109325,2.2556129e-05,1
ENSG00000254129.1,CTD-2647L4.1,0.0012108176,0.0,0
ENSG00000265218.1,RP11-927P21.1,0.001210495,0.0,0
ENSG00000271797.1,CTC-428G20.6,0.0012071922,0.0,0
ENSG00000139292.12,LGR5,0.0012045418,0.0,0
ENSG00000225200.2,AB019441.29,0.0012033387,0.0,0
ENSG00000211584.13,SLC48A1,0.0011979042,0.0,0
ENSG00000124731.12,TREM1,0.0011967273,0.0,0
ENSG00000240445.3,FOXO3B,0.0011962842,0.0029279222,2
ENSG00000166840.13,GLYATL1,0.0011955614,0.0,0
ENSG00000152229.18,PSTPIP2,0.0011926946,0.0006282776,2
ENSG00000165699.13,TSC1,0.0011893929,0.0009289314,1
ENSG00000089486.16,CDIP1,0.0011864175,0.0,0
ENSG00000185127.6,C6orf120,0.0011853016,0.0,0
ENSG00000175106.16,TVP23C,0.0011846016,0.0,0
ENSG00000161509.13,GRIN2C,0.001180991,0.00010591091,1
ENSG00000204389.9,HSPA1A,0.0011806244,0.0,0
ENSG00000144746.6,ARL6IP5,0.0011777227,0.0,0
ENSG00000206127.10,GOLGA8O,0.0011725435,0.0,0
ENSG00000129757.12,CDKN1C,0.0011723946,0.0,0
ENSG00000138303.17,ASCC1,0.0011683807,0.0015138821,2
ENSG00000228417.1,RP11-549L6.3,0.0011676694,0.00046599843,2
ENSG00000223878.1,AC005517.3,0.0011605412,0.0,0
ENSG00000237786.1,GFOD1-AS1,0.0011590342,0.0,0
ENSG00000221740.1,SNORD93,0.001154235,0.0,0
ENSG00000122986.13,HVCN1,0.0011540651,0.00013514134,1
ENSG00000172818.9,OVOL1,0.0011517348,0.0,0
ENSG00000277492.1,ACEA_U3,0.0011460516,0.0,0
ENSG00000267796.7,LIN37,0.0011443874,0.0,0
ENSG00000070718.11,AP3M2,0.001143575,7.3557662e-06,1
ENSG00000215712.10,TMEM242,0.0011378225,0.0,0
ENSG00000129691.15,ASH2L,0.0011348736,0.0012448352,1
ENSG00000104973.16,MED25,0.0011334334,0.0,0
ENSG00000239855.1,IGKV1-6,0.0011320971,0.00019472442,1
ENSG00000173692.12,PSMD1,0.0011261362,0.0,0
ENSG00000279381.1,bP-2171C21.5,0.0011205861,0.00023922903,1
ENSG00000211664.2,IGLV2-18,0.0011200046,0.00010435347,1
ENSG00000139679.15,LPAR6,0.0011169299,0.0,0
ENSG00000116095.10,PLEKHA3,0.0011138129,0.0,0
ENSG00000102038.15,SMARCA1,0.0011122274,0.000115164556,1
ENSG00000112167.9,SAYSD1,0.0011119964,0.0,0
ENSG00000119711.12,ALDH6A1,0.0011093209,0.0,0
ENSG00000101981.10,F9,0.0011067857,0.0,0
ENSG00000244607.5,CCDC13,0.0011051687,0.0,0
ENSG00000251513.2,LIX1-AS1,0.0011018224,0.0019108579,1
ENSG00000172432.18,GTPBP2,0.0011006317,0.0,0
ENSG00000115762.16,PLEKHB2,0.001097058,0.0,0
ENSG00000198246.7,SLC29A3,0.0010916231,0.0,0
ENSG00000166828.2,SCNN1G,0.0010893834,0.0,0
ENSG00000120889.12,TNFRSF10B,0.0010888017,0.0,0
ENSG00000176386.8,CDC26,0.0010875148,0.0,0
ENSG00000112303.13,VNN2,0.00108375,0.0,0
ENSG00000173638.18,SLC19A1,0.0010819287,0.0,0
ENSG00000202293.1,SNORD114-22,0.001078917,0.0,0
ENSG00000176834.13,VSIG10,0.0010747991,0.00068112137,1
ENSG00000163915.7,IGF2BP2-AS1,0.0010714814,0.0,0
ENSG00000148297.15,MED22,0.0010701073,0.0,0
ENSG00000169035.11,KLK7,0.001069623,0.0005536106,1
ENSG00000234127.8,TRIM26,0.001065054,0.0,0
ENSG00000143368.9,SF3B4,0.0010609272,0.0,0
ENSG00000140280.13,LYSMD2,0.001056951,0.0,0
ENSG00000004777.18,ARHGAP33,0.0010493775,0.0,0
ENSG00000205771.6,CATSPER2P1,0.0010471132,0.0,0
ENSG00000115594.11,IL1R1,0.0010470422,0.0,0
ENSG00000131378.13,RFTN1,0.0010454531,0.0,0
ENSG00000149489.8,ROM1,0.0010446914,0.0,0
ENSG00000196878.14,LAMB3,0.0010444478,0.0,0
ENSG00000069974.15,RAB27A,0.0010336853,0.0,0
ENSG00000211645.2,IGLV1-50,0.0010332635,0.0,0
ENSG00000283293.1,RN7SK,0.0010298034,0.0,0
ENSG00000199568.1,RNU5A-1,0.0010294071,0.0,0
ENSG00000139438.5,FAM222A,0.0010290524,0.0,0
ENSG00000169242.11,EFNA1,0.0010276557,0.0,0
ENSG00000197813.5,CTC-301O7.4,0.0010269455,0.0,0
ENSG00000080823.22,MOK,0.0010207758,0.0,0
ENSG00000167716.18,WDR81,0.0010174086,0.0,0
ENSG00000111799.20,COL12A1,0.001011166,0.0,0
ENSG00000175315.2,CST6,0.0010065658,0.0,0
ENSG00000114638.7,UPK1B,0.001006094,0.0,0
ENSG00000242262.1,RP11-100N21.1,0.0010057645,0.000528485,2
ENSG00000125363.14,AMELX,0.0010039062,0.0,0
ENSG00000115523.16,GNLY,0.0010036969,0.0,0
ENSG00000155846.16,PPARGC1B,0.0010025911,0.0,0
ENSG00000221988.12,PPT2,0.0010013214,0.0,0
ENSG00000139146.13,FAM60A,0.0009997333,0.0,0
ENSG00000167476.10,JSRP1,0.0009991368,0.0,0
ENSG00000181904.8,C5orf24,0.000996849,0.0,0
